"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","7200587760.61997","7575604211.94407","7973033832.71648","7704766045.80807","8439671599.37331","8349667043.54483","8565964700.72808","8335237559.86442","9191322482.01204","9280699557.60856","9783970484.1119","9342899484.55376","8342592023.47496","8365356601.89102","8903935695.5455","8497602395.09958","9210369721.07554","8873432100.15133","9568596306.96204","9504983603.39034","9360678457.34811","9669944478.06725","9768939295.91341","10148925972.455","10646740813.4086","10667015489.3765","11021697106.372","11032171400.4663","10984066236.7898","10964621445.0412","11974646603.9191","12229605179.8911","12513741847.8249","12812704744.0073","12907135452.535","12859056501.7615","13240659455.3055","13838948205.7171","14383567438.1566","14941871600.7197","16046115671.175","16488655799.2151","16469050599.82","17125153056.694","17976874872.4561","18764703320.6196","19806654338.2941","21132213942.7146","22081867716.5285","22847244786.7366","24252795205.4385","25333589250.9786","26097212389.0433","26740479324.1504","27909538331.8125","28838474121.034","29641991282.7668","30589351466.4091","31673603234.6307","32706345673.2658","33825212729.066","34899007795.8314",
"Bulgaria","BGR","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","4268500123.78145","4459313059.7937","4717623499.54659","3946926888.34731","4407954131.43278","3499141053.33258","4270550876.50193","3645549782.41895","3924279172.91997","3729052842.83609","3591114694.23033","3867525901.1562","3296781455.45228","2300497902.96985","2518372137.83722","2868907277.26139","2762442189.9796","4083470868.28384","3299698481.07005","3148897075.49308","2803280435.27545","2820809340.28565","2967813987.75788","2919993765.58603","3027598617.09363","2771445250.51009","2747859328.95035","2004036499.65994","2641212876.89866","2406850487.41782","2145395601.90433","2267870097.48356","2017478462.93357","2090715257.31127","2237765812.74087","2062099297.21152","2216093856.26842","2403526978.00952","2355823509.4083","2452390047.60825","2371416912.26479","2517225119.02063",
"Bahrein","BHR","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86172947.212167","84340119.5343629","86593596.1874007","94555880.3614678","86473410.7659054","87855543.1131019","89688370.790906","91010410.4273549","101346356.675955","98191489.3617021","105012012.031563","104110621.370348","108030168.428865","106972837.18326","107127876.376989","114894558.777572",
"Bahamas","BHS","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","127010707.406603","124755975.16947","154935760.158014","133825895.03386","147716340.293454","149254132.054176","145640936.794582","158251940.180587","144641083.521445","130699774.266366","122748871.331828","133858352.14447","138759593.679458","155314898.419865","170345372.460497","158473476.297968","143660835.214447","129937358.916479","121659706.546275","125907449.209932","130046275.395034","131680022.573363","121441873.589165","125253950.3386","101945823.927765","95846501.1286682","96500000","101510158.013544","96173250.5643341","84519187.3589165","66221218.9616253","75588036.1173815","51626410.8352144",
"Bosnia y Herzegovina","BIH","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800535685.918529","821954952.910473","897232157.040735","832258595.257007","930832690.34381","976174855.327357","1032003120.39033","1054083059.11721","1098836775.21843","1078445875.41132","1035684556.90457","1033842221.71792","916568648.587314","1060976738.90843","926679564.280041","1011819110.524","1088707421.46508","1000526630.94396","1091025063.39393","1069012322.99904","1141214682.85487","1127738000.68081",
"Belarús","BLR","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2860813636.69931","2756447127.39509","2531231343.18519","2571331829.51294","2162455905.63419","2109723067.19499","2141543889.83203","2024702060.54435","1994518985.80047","1851530759.09283","2017258566.16909","2045922613.37322","2105076542.81106","2264463558.81556","2564432398.02683","2627455054.40307","2783588564.44736","2917347673.48279","3168430534.90548","3177409487.4209","3253040714.7764","3470164860.66282","3692092486.40562","3537457928.91935","3634992382.02049","3547218385.03077","3686878488.6154","3849084340.89901","3716465923.2094","3824243434.98247","3630174386.4081","4043410163.93185",
"Belice","BLZ","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","38344603.6602403","40762733.6184122","42144569.7219876","44303576.2826594","48103542.3444068","49744368.6885463","44908108.7722024","59848716.4647557","63130435.7315027","62094141.8769062","62799678.0342821","64294071.8882893","67263217.940908","64606231.3471992","65571085.5668632","66066275.5146832","62822947.264778","73840171.4040699","73894620.1939925","78506987.1486023","87315190.2430313","91279079.6435501","103023920.871559","108227627.352857","112240910.826113","112171003.434701","120353164.260955","128343312.785464","131273164.848771","145530344.567188","162308584.555323","161652520.331539","162584618.883698","225701006.55845","247072694.790091","254729218.611395","238284337.012594","189016270.6842","207658241.727376","210787429.723909","227498625.194756","217578433.461066","231293597.871403","245275076.153785","251267138.274805","223770230.986121","174968213.933807","189682055.364314","183223943.967214","175101370.86983","179761863.630624","200001717.906072",
"Bermudas","BMU","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21884832.9970079","22882044.3949621","20558383.5502053","22398739.8232552","14846314.4527173","15165000","21988247.5123513","20903450.3514021","18018396.4233526","18247385.7073273","18497479.9944332","",
"Bolivia","BOL","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","786265049.581505","824707897.95023","816729193.544061","862676663.95636","880229630.20307","929274682.925665","963348087.937745","934953583.772156","991742592.170197","898815123.864258","938051166.015589","972724510.534846","1038578920.33324","1122268899.3587","1169913566.97042","1284659886.99973","1348892881.35306","1371904507.50325","1340162183.0856","1388305747.79849","1407076585.73425","1359442040.23912","1435673214.39384","1231745522.49653","1401077997.9999","1495360021.85401","1448105764.96032","1478161483.6441","1538992794.77004","1515494756.10182","1585386621.09347","1741703924.94552","1667940781.45022","1737052695.14631","1852954925.51552","1878965385.12382","2004936532.0756","2096256709.06108","2003409702.69123","2053637207.51117","2125008908.93241","2198552940.54278","2208387232.89458","2400800699.06028","2406750686.64193","2526675027.5777","2634298145.12877","2620974243.59937","2689512200.49952","2788538402.73348","2755687199.202","2839897506.43677","2957737309.03721","3096310899.70988","3214591801.21326","3379053357.45297","3484934411.82118","3749740652.82738","4008902004.67455","4221359628.15835","4353428598.02215","4432090366.48734",
"Brasil","BRA","Agricultura, valor agregado (US$ a precios constantes de 2010)","NV.AGR.TOTL.KD","10950016377.1886","11782217621.8549","11841128709.9642","11959539997.0638","12115014017.0257","13580930713.0858","13350054890.9633","14111008019.7482","14308562132.0247","15167075859.9462","16016432108.1032","17642769133.6091","18342733764.5532","18356582741.8092","18595143852.0314","19830414236.8951","20314101836.63","22774725979.7778","22164664242.0221","23207142120.757","25423424193.2893","27449671101.4944","27389281825.0711","27263291128.6758","27980315685.36","30660829928.0174","28201831367.7904","32423645523.5487","32696004145.9465","33627840264.1059","32376884606.2812","32820447925.3873","34425367828.9387","34401270071.4584","36276096964.2097","37754731433.6108","38869693267.5383","39185714749.4977","40521511914.7937","43165636905.869","44341212421.6186","46647106348.6","50388283982.6427","54573707278.4541","55662520182.3526","56285974086.1924","58897318404.2999","60809714930.8355","64319023622.0855","61920773148.3476","66067571700.7044","69792888470.3124","67641702579.2113","73297525648.9525","75343108931.6605","77840229273.69","73773686193.5145","84214423201.2668","85315152696.4235","85669242089.9363","88885047636.7196","88709778642.8514",
