country_name,country_code_alpha_three,avg
Cuba,CUB,0.60607843137254901961
Cyprus,CYP,0.43735294117647058824
Czech Republic,CZE,1.3542857142857143
Côte d'Ivoire,CIV,0.70501960784313725490
Denmark,DNK,0.82566666666666666667
Djibouti,DJI,0.64220408163265306122
Dominica,DMA,0.45062745098039215686
Dominican Republic,DOM,0.67703921568627450980
Ecuador,ECU,0.47137254901960784314
Egypt,EGY,0.33613725490196078431
El Salvador,SLV,0.55449019607843137255
Equatorial Guinea,GNQ,0.48718367346938775510
Eritrea,ERI,0.62936170212765957447
Estonia,EST,1.4956551724137931
Ethiopia,ETH,0.99914285714285714286
Falkland Islands (Malvinas),FLK,0.08041666666666666667
Faroe Islands,FRO,0.46566666666666666667
Fiji,FJI,0.44552941176470588235
Finland,FIN,0.91458823529411764706
France,FRA,0.78549019607843137255
French Guiana,GUF,0.54452941176470588235
French Polynesia,PYF,0.40843137254901960784
French Southern Territories,ATF,0.25397959183673469388
Gabon,GAB,0.43519607843137254902
Gambia,GMB,0.96817647058823529412
Georgia,GEO,0.92748275862068965517
Germany,DEU,0.86072549019607843137
Ghana,GHA,0.69047058823529411765
Gibraltar,GIB,0.68821568627450980392
Greece,GRC,0.33311764705882352941
Greenland,GRL,0.44009803921568627451
Grenada,GRD,0.42052941176470588235
Guadeloupe,GLP,0.45678431372549019608
Guatemala,GTM,0.53966666666666666667
Guinea,GIN,0.70129411764705882353
Guinea-Bissau,GNB,0.89196078431372549020
Guyana,GUY,0.52776470588235294118
Haiti,HTI,0.77376470588235294118
Holy See (Vatican City State),VAT,0.53905882352941176471
Honduras,HND,0.53196078431372549020
Hong Kong,HKG,0.42194117647058823529
Hungary,HUN,0.74976470588235294118
Iceland,ISL,0.43652941176470588235
India,IND,0.32488235294117647059
Indonesia,IDN,0.39305882352941176471
"Iran, Islamic Republic of",IRN,0.68231372549019607843
Iraq,IRQ,0.56643137254901960784
Ireland,IRL,0.50943137254901960784
Isle of Man,IMN,0.50096078431372549020
Israel,ISR,0.36370588235294117647
Italy,ITA,0.67633333333333333333
Ivory Coast,CIV,0.70501960784313725490
Jamaica,JAM,0.64535416666666666667
Japan,JPN,0.38121568627450980392
Jordan,JOR,0.38505882352941176471
Kazakhstan,KAZ,1.2705517241379310
Kenya,KEN,0.50519607843137254902
Kiribati,KIR,0.48177551020408163265
"Korea, Democratic People''s Republic of",PRK,0.72798039215686274510
"Korea, Republic of",KOR,0.54049019607843137255
Kuwait,KWT,0.65080392156862745098
Kyrgyzstan,KGZ,1.02848275862068965517
Lao People's Democratic Republic,LAO,0.58186274509803921569
Latvia,LVA,1.4522068965517241
Lebanon,LBN,0.46343137254901960784
Lesotho,LSO,0.51817647058823529412
Liberia,LBR,0.70358823529411764706
Libya,LBY,0.43301960784313725490
Libyan Arab Jamahiriya,LBY,0.43301960784313725490
Liechtenstein,LIE,0.88460784313725490196
Lithuania,LTU,1.4157931034482759
Luxembourg,LUX,0.85378431372549019608
Macao,MAC,0.42194117647058823529
"Macedonia, the former Yugoslav Republic of",MKD,0.56080392156862745098
Madagascar,MDG,0.43596078431372549020
Malawi,MWI,0.59374509803921568627
Malaysia,MYS,0.54378431372549019608
Maldives,MDV,0.42093877551020408163
Mali,MLI,0.76482352941176470588
Malta,MLT,0.67860784313725490196
Marshall Islands,MHL,0.36480000000000000000
Martinique,MTQ,0.44490196078431372549
Mauritania,MRT,0.94205882352941176471
Mauritius,MUS,0.34886274509803921569
Mayotte,MYT,0.32775000000000000000
Mexico,MEX,0.45709803921568627451
"Micronesia, Federated States of",FSM,0.27333333333333333333
"Moldova, Republic of",MDA,1.1715517241379310
Monaco,MCO,0.70476470588235294118
Mongolia,MNG,1.01270588235294117647
Montenegro,MNE,1.1018965517241379
Montserrat,MSR,0.44864000000000000000
Morocco,MAR,0.87000000000000000000
Mozambique,MOZ,0.40311764705882352941
Myanmar,MMR,0.49694117647058823529
Namibia,NAM,0.70666666666666666667
Nauru,NRU,0.04100000000000000000
Nepal,NPL,0.28931372549019607843
Netherlands,NLD,0.83994117647058823529
Netherlands Antilles,ANT,0.44762745098039215686
New Caledonia,NCL,0.39633333333333333333
New Zealand,NZL,0.34488235294117647059
