country_name,country_code, avg_emissions , avg_deaths , avg_temp_increase 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Saint Vincent and the Grenadines,VCT," 131,791.0196 ", 1.333 , 0.422 
Samoa,WSM," 126,450.7059 ", 3.909 , 0.348 
Sao Tome and Principe,STP," 62,663.8235 ", -   , 0.564 
Saudi Arabia,SAU," 307,291,488.8235 ", 28.688 , 0.522 
Senegal,SEN," 4,580,855.2353 ", 10.250 , 0.917 
Serbia,SRB," 45,623,017.0980 ", 8.545 , 1.561 
Seychelles,SYC," 261,338.0392 ", 1.000 , 0.388 
Sierra Leone,SLE," 586,067.0000 ", 18.357 , 0.616 
Slovakia,SVK," 46,714,282.8039 ", 11.941 , 0.754 
Slovenia,SVN," 14,419,992.1765 ", 37.500 , 1.458 
Solomon Islands,SLB," 198,788.2353 ", 8.560 , 0.276 
Somalia,SOM," 606,678.4314 "," 1,291.152 ", 0.695 
South Africa,ZAF," 347,720,117.6275 ", 46.128 , 0.509 
South Sudan,SSD," 698,750.2549 ", 27.000 , 0.968 
Spain,ESP," 246,714,337.1373 ", 407.439 , 0.706 
Sri Lanka,LKA," 8,904,857.3725 ", 60.400 , 0.604 
Sudan,SDN," 8,161,992.4706 "," 4,733.813 ", 0.536 
Suriname,SUR," 2,028,266.4902 ", 2.500 , 0.635 
Sweden,SWE," 60,344,507.3137 ", 3.000 , 0.871 
Switzerland,CHE," 41,810,361.0784 ", 32.000 , 0.860 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Taiwan,TWN," 169,425,071.5882 ", 54.800 , 0.383 
Tajikistan,TJK," 7,025,519.9216 ", 56.034 , 0.961 
Thailand,THA," 142,272,034.8627 ", 130.175 , 0.545 
Togo,TGO," 1,261,002.1569 ", 5.929 , 0.671 
Tonga,TON," 82,216.8235 ", 0.800 , 0.351 
Trinidad and Tobago,TTO," 25,689,130.1373 ", 0.889 , 0.385 
Tunisia,TUN," 16,855,782.8431 ", 27.077 , 0.808 
Turkey,TUR," 201,170,169.7059 ", 19.565 , 0.452 
Turkmenistan,TKM," 41,402,557.4510 ", -   , 1.114 
Turks and Caicos Islands,TCA," 126,791.8387 ", 0.800 , 0.002 
Tuvalu,TUV," 8,997.5806 ", 0.750 , 0.426 
Uganda,UGA," 1,897,322.4118 ", 25.538 , 0.529 
Ukraine,UKR," 452,506,833.4510 ", 58.524 , 1.230 
United Arab Emirates,ARE," 91,621,030.8039 ", -   , 0.497 
United Kingdom,GBR," 548,347,898.0392 ", 112.194 , 0.544 
United States,USA," 5,230,267,202.3529 ", 322.725 , 0.561 
Uruguay,URY," 5,604,473.6863 ", 1.636 , 0.455 
Uzbekistan,UZB," 103,560,881.4118 ", 0.667 , 1.132 
Vanuatu,VUT," 84,345.5294 ", 4.679 , 0.344 
Venezuela,VEN," 125,970,331.3333 "," 1,090.393 ", 0.402 
Venezuela,VEN," 125,970,331.3333 "," 1,090.393 ", 0.402 
Venezuela,VEN," 125,970,331.3333 "," 1,090.393 ", 0.402 
Venezuela,VEN," 125,970,331.3333 "," 1,090.393 ", 0.402 
Venezuela,VEN," 125,970,331.3333 "," 1,090.393 ", 0.402 
Venezuela,VEN," 125,970,331.3333 "," 1,090.393 ", 0.402 
Venezuela,VEN," 125,970,331.3333 "," 1,090.393 ", 0.402 
Venezuela,VEN," 125,970,331.3333 "," 1,090.393 ", 0.402 
