country_name,country_code,country_latitude,country_longitude,avg
Tokelau,TKL,-9,-172,0.23118181818181818182
Tonga,TON,-20,-175,0.35127450980392156863
Trinidad and Tobago,TTO,11,-61,0.38462000000000000000
Tunisia,TUN,34,9,0.80801960784313725490
Turkey,TUR,39,35,0.45203921568627450980
Turkmenistan,TKM,40,60,1.1140344827586207
Turks and Caicos Islands,TCA,21.75,-71.5833,0.00170000000000000000
Tuvalu,TUV,-8,178,0.42606122448979591837
Uganda,UGA,1,32,0.52898039215686274510
Ukraine,UKR,49,32,1.2295517241379310
United Arab Emirates,ARE,24,54,0.49729411764705882353
United Kingdom,GBR,54,-2,0.54374509803921568627
United States,USA,38,-97,0.56056862745098039216
United States Minor Outlying Islands,UMI,19.2833,166.6,0.36924637681159420290
Uruguay,URY,-33,-56,0.45533333333333333333
Uzbekistan,UZB,41,64,1.1321034482758621
Vanuatu,VUT,-16,167,0.34394117647058823529
"Venezuela, Bolivarian Republic of",VEN,8,-66,0.40186274509803921569
Venezuela,VEN,8,-66,0.40186274509803921569
"Venezuela, Bolivarian Republic of",VEN,8,-66,0.40186274509803921569
Venezuela,VEN,8,-66,0.40186274509803921569
Vietnam,VNM,16,106,0.49419607843137254902
Viet Nam,VNM,16,106,0.49419607843137254902
Vietnam,VNM,16,106,0.49419607843137254902
Viet Nam,VNM,16,106,0.49419607843137254902
"Virgin Islands, British",VGB,18.5,-64.5,0.48247058823529411765
"Virgin Islands, U.S.",VIR,18.3333,-64.8333,0.48149019607843137255
Wallis and Futuna,WLF,-13.3,-176.2,0.35915686274509803922
Western Sahara,ESH,24.5,-13,0.80207843137254901961
Yemen,YEM,15,48,0.24645454545454545455
Zambia,ZMB,-15,30,0.61170588235294117647
Zimbabwe,ZWE,-20,30,0.27884313725490196078
