country_name,country_code,avg_emissions,country_latitude,country_longitude
United Arab Emirates,ARE,91621030.803921568627,24,54
United Kingdom,GBR,548347898.03921569,54,-2
United States,USA,5230267202.35294118,38,-97
Uruguay,URY,5604473.686274509804,-33,-56
Uzbekistan,UZB,103560881.41176471,41,64
Vanuatu,VUT,84345.529411764706,-16,167
Venezuela,VEN,125970331.33333333,8,-66
Venezuela,VEN,125970331.33333333,8,-66
Vietnam,VNM,71698791.392156862745,16,106
Vietnam,VNM,71698791.392156862745,16,106
British Virgin Islands,VGB,106468.039215686275,18.5,-64.5
Wallis and Futuna,WLF,25362.350000000000,-13.3,-176.2
Yemen,YEM,11063427.372549019608,15,48
Zambia,ZMB,3380305.607843137255,-15,30
Zimbabwe,ZWE,11405477.921568627451,-20,30
